REF_DATE,GEO,DGUID,Indicator,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1974,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.000,,,,3
1975,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.207,,,,3
1976,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.321,,,,3
1977,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.344,,,,3
1978,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.405,,,,3
1979,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.476,,,,3
1980,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.553,,,,3
1981,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.754,,,,3
1982,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.843,,,,3
1983,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.739,,,,3
1984,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.579,,,,3
1985,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.439,,,,3
1986,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.986,,,,3
1987,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,3.697,,,,3
1988,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,3.166,,,,3
1989,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,3.021,,,,3
1990,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.932,,,,3
1991,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.816,,,,3
1992,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.864,,,,3
1993,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.793,,,,3
1994,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.787,,,,3
1995,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.717,,,,3
1996,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.476,,,,3
1997,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.309,,,,3
1998,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.318,,,,3
1999,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.361,,,,3
2000,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.379,,,,3
2001,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.317,,,,3
2002,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.270,,,,3
2003,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.258,,,,3
2004,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.197,,,,3
2005,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.233,,,,3
2006,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.309,,,,3
2007,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.231,,,,3
2008,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.136,,,,3
2009,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.069,,,,3
2010,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,2.049,,,,3
2011,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,1.996,,,,3
2012,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,1.974,,,,3
2013,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,1.876,,,,3
2014,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,1.770,,,,3
2015,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,1.708,,,,3
2016,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,1.728,,,,3
2017,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,1.704,,,,3
2018,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,1.655,,,,3
2019,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,1.514,,,,3
2020,Canada,2016A000011124,Crude divorce rate,"Rates per 1,000 population",267,units,0,v1331258927,1.2,1.129,,,,3
1991,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,12.7,,,,1
1992,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,13.0,,,,1
1993,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,12.8,,,,1
1994,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,12.9,,,,1
1995,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,12.6,,,,1
1996,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,11.6,,,,1
1997,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,10.9,,,,1
1998,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,10.9,,,,1
1999,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,11.2,,,,1
2000,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,11.3,,,,1
2001,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,11.1,,,,1
2002,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,10.9,,,,1
2003,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,10.9,,,,1
2004,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,10.6,,,,1
2005,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,10.8,,,,1
2006,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,11.2,,,,1
2007,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,10.9,,,,1
2008,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,10.4,,,,1
2009,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,10.1,,,,1
2010,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,10.1,,,,1
2011,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,9.9,,,,1
2012,Canada,2016A000011124,Divorce rate,"Rate per 1,000 married persons",424,units,0,v1331258928,1.3,9.8,,,,1
